path,ext,size,outcome,detail
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203180000A.dat,.dat,2347884,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202250000A.T02,.t02,1209294,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203190000A.T02,.t02,1219193,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202250000A.dat,.dat,2349113,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203190000A.dat,.dat,2345648,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202260000A.T02,.t02,1209801,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203200000A.T02,.t02,1201015,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202260000A.dat,.dat,2348473,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203200000A.dat,.dat,2345878,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202270000A.T02,.t02,1204094,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203210000A.T02,.t02,1202191,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202270000A.dat,.dat,2347696,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203210000A.dat,.dat,2347790,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202280000A.T02,.t02,1197901,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203220000A.T02,.t02,1212332,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202280000A.dat,.dat,2293424,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203220000A.dat,.dat,2348134,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202290000A.T02,.t02,1207932,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203230000A.T02,.t02,1209669,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201202290000A.dat,.dat,2332944,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203230000A.dat,.dat,2348784,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201203010000A.T02,.t02,1247823,ok,
