sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU LEYTE,INOP,2018,142---363,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2019,219---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2020,1---366,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2021,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2022,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2023,1---365,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,INOP,2024,1---204,,,,FFFF9900,Not operational,False,False,,,True
Continuous,NCKU LEYTE,ISAB,2014,149---196,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2015,48---365,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2016,"1-213, 346-366",,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2017,1---239,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2019,208---220,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2021,329---342,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2022,286---365,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2023,"1-77, 348-365",,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2024,1---366,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2025,1---365,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,ISAB,2026,1---33,,,,FFFFFF00,Downloaded data this year,Processing,Processing,,,To retrieve
Continuous,NCKU LEYTE,JARO,2013,308---312,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2014,4---324,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2017,190---198,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2018,"1-36, 143-365",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2019,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2020,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2021,"1-117,136",,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2022,278---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2023,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,JARO,2024,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
