# Built 2026-09-23 on gps3, together with the file beside it, by ONE command:
#   scripts/build_crd_catalog.py --root /srv/gnss-archive --root $P \
#       --rinex <listing of every RINEX path in the archive, 480,178 lines> \
#       -o docs/bern52/crd_catalog.csv --clusters-out docs/bern52/crd_clusters.csv
# Both files must come from the same invocation: --rinex adds sites that only
# RINEX headers cover, so a run without it yields fewer sites in both.
# One row per distinct MONUMENT, not per site code. A code
# naming two physical marks appears twice. Judge a real
# collision by cluster SIZE and RATIO -- see _cluster_row().
site,cluster,of_clusters,n_rows,n_files,x,y,z,lat,lon,height,spread_m,best_kind,frames
DAEJ,10,14,2,2,-3114747.1404,4084263.4630,3797077.3044,36.6571410,127.3299224,16983.241,0.00,GPSEST,ITRF2005
DAEJ,11,14,2,2,-3129218.5217,4082471.8986,3788256.5387,36.5540289,127.4701985,17636.791,0.00,GPSEST,ITRF2005
DAEJ,12,14,2,2,-3124547.4684,4084106.8677,3773410.8345,36.4549546,127.4178091,7565.930,0.00,GPSEST,ITRF2005
DAEJ,13,14,2,2,-3129560.3944,4085670.9826,3780077.0494,36.4802470,127.4515529,14977.398,0.00,GPSEST,ITRF2005
DAEJ,14,14,2,2,-3123294.5771,4083807.9308,3772252.8726,36.4519117,127.4087439,6074.656,0.00,GPSEST,ITRF2005
DAKA,1,1,327,327,5886683.1515,-1852122.7259,1606372.5728,14.6845478,-17.4651006,46.178,0.67,RNX2SNX,IGS00|IGS20|IGS20_0|ITRF00|ITRF2005|ITRF2014_0
DAKR,1,1,270,270,5886533.4936,-1849181.3247,1610300.6562,14.7212375,-17.4394631,51.785,0.40,RNX2SNX,IGS20|IGS20_0|ITRF2014_0
DARM,1,1,2,2,-4078219.2743,4709437.7299,-1363264.3994,-12.4240084,130.8914936,83.059,0.00,REFERENCE,ITRF2014_0
DARR,1,1,689,689,-4091359.8032,4684606.3420,-1408578.8149,-12.8436939,131.1327461,125.101,2.00,RNX2SNX,IGS00|IGS14|IGS14_0|IGS20|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0
DARW,1,24,4848,4832,-4091359.2581,4684606.5737,-1408579.6855,-12.8437020,131.1327409,125.115,132.39,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
DARW,2,24,6,6,-4095071.2030,4674829.1376,-1385179.9463,-12.6470493,131.2178111,-9831.854,616.14,GPSEST,ITRF2005
DARW,3,24,2,2,-4116749.7353,4659434.3948,-1394479.9941,-12.7236737,131.4615601,-5096.303,0.00,GPSEST,ITRF2005
DARW,4,24,2,2,-4118854.2661,4678995.8655,-1392486.5732,-12.6741959,131.3570089,10135.753,0.00,GPSEST,ITRF2005
DARW,5,24,2,2,-4095041.1668,4682684.0688,-1402556.5529,-12.7886577,131.1699312,-259.973,0.00,GPSEST,ITRF2005
DARW,6,24,2,2,-4100552.0643,4682274.8045,-1397859.5474,-12.7406227,131.2105998,1941.441,0.00,GPSEST,ITRF2005
DARW,7,24,2,2,-4103902.2448,4682434.3105,-1405907.5848,-12.8068770,131.2328251,5990.927,0.00,GPSEST,ITRF2005
DARW,8,24,2,2,-4191433.0258,4638628.9244,-1235377.3592,-11.2513151,132.1007491,-4641.931,0.00,GPSEST,ITRF2005
DARW,9,24,2,2,-4166992.8254,4664131.1890,-1220335.3312,-11.1131873,131.7779981,-4973.598,0.00,GPSEST,ITRF2005
DARW,10,24,2,2,-4111099.5283,4677913.6681,-1409898.2911,-12.8393059,131.3100356,8192.804,0.00,GPSEST,ITRF2005
DARW,11,24,2,2,-4109334.2506,4672975.6289,-1392191.5143,-12.6930313,131.3278406,-473.645,0.00,GPSEST,ITRF2005
DARW,12,24,2,2,-4116773.3459,4667078.8483,-1372711.4259,-12.5201545,131.4151232,-4245.535,0.00,GPSEST,ITRF2005
DARW,13,24,2,2,-4084596.6760,4674716.7948,-1391289.4510,-12.7149162,131.1457737,-15301.894,0.00,GPSEST,ITRF2005
DARW,14,24,2,2,-4090131.4693,4677075.4925,-1390353.0391,-12.6958481,131.1698968,-10222.018,0.00,GPSEST,ITRF2005
DARW,15,24,2,2,-4093728.0134,4671965.0263,-1377934.5242,-12.5890281,131.2258991,-14380.623,0.00,GPSEST,ITRF2005
DARW,16,24,2,2,-4082773.2336,4674561.0529,-1376095.7947,-12.5831495,131.1340436,-19913.949,0.00,GPSEST,ITRF2005
DARW,17,24,2,2,-4097470.9073,4668840.8151,-1358999.9130,-12.4212644,131.2708553,-18364.489,0.00,GPSEST,ITRF2005
DARW,18,24,2,2,-4094545.9974,4672528.6607,-1377731.7705,-12.5853342,131.2281473,-13484.954,0.00,GPSEST,ITRF2005
DARW,19,24,2,2,-4096631.5287,4669962.8299,-1369176.3517,-12.5107615,131.2582106,-15884.843,0.00,GPSEST,ITRF2005
DARW,20,24,2,2,-4102932.0570,4675129.3572,-1369537.1930,-12.4981886,131.2704551,-7958.446,0.00,GPSEST,ITRF2005
DARW,21,24,2,2,-4099738.1248,4674518.8775,-1378080.7375,-12.5787148,131.2520445,-8607.788,0.00,GPSEST,ITRF2005
DARW,22,24,2,2,-4092430.2234,4678406.4876,-1399741.1995,-12.7737087,131.1777709,-5699.143,0.00,GPSEST,ITRF2005
DARW,23,24,2,2,-4096724.5756,4680169.0892,-1392302.1769,-12.6997882,131.1968551,-3287.070,0.00,GPSEST,ITRF2005
DARW,24,24,2,2,-4092460.5077,4679402.6467,-1400866.0796,-12.7820929,131.1719360,-4699.663,0.00,GPSEST,ITRF2005
DAV1,1,1,772,772,486854.5952,2285099.1398,-5914955.7100,-68.5773240,77.9726118,44.374,0.18,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
DAVR,1,1,694,694,486854.5952,2285099.1392,-5914955.7099,-68.5773240,77.9726117,44.373,0.17,RNX2SNX,IGS00|IGS14|IGS14_0|IGS20|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0
DAWU,1,1,53,53,-3030190.3449,5065075.1507,2409355.2867,22.3405978,120.8900495,41.046,0.00,RNX2SNX,ITRF00|ITRF2005
DCHU,1,1,53,53,-3045318.3451,5012496.9210,2498534.8734,23.2131975,121.2805715,251.241,0.00,RNX2SNX,ITRF00|ITRF2005
DEAR,1,1,2,2,5017617.2911,2233214.8268,-3234696.1690,-30.6652071,23.9926395,1321.711,0.00,REFERENCE,ITRF2014_0
DELF,1,1,17,9,3924687.5639,301132.8620,5001910.8918,51.9861188,4.3875856,74.371,0.08,REFERENCE,IGS00|IGS97|ITRF97
DENT,1,1,5,5,4020711.6185,238850.9663,4928949.5529,50.9337046,3.3996689,63.902,0.02,REFERENCE,IGS97|ITRF97
DGAR,1,1,772,772,1916268.5353,6029977.8183,-801719.2396,-7.2696792,72.3702475,-64.940,1.64,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
DGAV,1,1,628,628,1916268.5324,6029977.8207,-801719.2355,-7.2696792,72.3702475,-64.939,1.17,RNX2SNX,IGS14|IGS14_0|IGS20|IGb08|ITRF2014_0
DGLG,1,1,2,2,4019246.9832,164574.1870,4933144.4732,50.9936549,2.3447531,56.766,0.00,REFERENCE,ITRF2014_0
DGOS,1,1,619,619,-3665429.9137,5166154.2064,744112.0447,6.7446672,125.3560217,104.144,0.26,RNX2SNX,IGS14|IGS20
DIMA,1,1,619,619,-3473819.7113,5177965.2779,1338216.3744,12.1922691,123.8570713,79.049,0.10,RNX2SNX,IGS14|IGS20
DINA,1,1,34,34,-3243234.1813,5199865.5247,1761592.5308,16.1396539,121.9524092,51.737,7.70,GPSEST,ITRF2005
DIPA,1,1,105,105,-3212289.4504,5226828.7008,1738507.8706,15.9225981,121.5739333,54.024,7.37,GPSEST,ITRF2005
DIPL,1,1,2,2,4224046.2966,-153115.2949,4760605.4844,48.5899334,-2.0759765,116.120,0.00,REFERENCE,ITRF2014_0
DJIG,1,1,268,268,4583085.8087,4250982.7660,1266243.2932,11.5262897,42.8470683,711.391,0.38,RNX2SNX,IGS20|IGS20_0
DJOU,1,1,2,2,6285506.2199,182337.5337,1066767.6615,9.6920621,1.6616390,459.837,0.00,REFERENCE,ITRF2014_0
DKSG,1,1,2,2,716356.3312,-1329176.7244,6176684.7670,76.3516206,-61.6776682,609.635,0.00,REFERENCE,ITRF2014_0
DLF1,1,1,268,268,3924697.5569,301125.3627,5001905.3884,51.9860219,4.3874657,75.818,0.25,RNX2SNX,IGS20|IGS20_0
DLFT,1,1,276,276,3924696.6206,301132.3859,5001903.6572,51.9860151,4.3875687,74.210,0.64,RNX2SNX,IGS00|IGS20|IGS20_0|IGS97
DLPZ,1,1,52,52,-3188190.4168,5286121.3722,1598948.9912,14.6151476,121.0952167,68.503,0.00,RNX2SNX,ITRF00
DNGT,1,1,619,619,-3654507.9602,5109115.9595,1102583.8834,10.0212213,125.5758237,136.944,0.16,RNX2SNX,IGS14|IGS20
DNRC,1,1,2,2,1237934.8408,-4794885.5647,4006103.5797,39.1600878,-75.5236001,-15.201,0.00,REFERENCE,ITRF2014_0
DOMN,1,1,53,53,-2966067.0104,4999411.1138,2616188.6461,24.3746478,120.6799474,125.711,0.00,RNX2SNX,ITRF00|ITRF2005
DONY,1,1,53,53,-2901441.5872,4927694.3119,2815663.7593,26.3676940,120.4897077,101.514,0.00,RNX2SNX,ITRF00|ITRF2005
DOSH,1,1,53,53,-2981621.6009,4996385.5696,2604998.9842,24.2626880,120.8268812,396.322,0.00,RNX2SNX,ITRF00|ITRF2005
DOUR,1,1,17,9,4086778.2734,328451.8539,4869782.5378,50.0948755,4.5949502,282.696,0.08,REFERENCE,IGS00|IGS97|ITRF97
DPES,1,1,53,53,-2980750.2000,4977576.2000,2640698.7700,24.6180741,120.9146792,62.008,0.00,RNX2SNX,ITRF00|ITRF2005
DRAG,1,1,758,758,4432980.2490,3149432.3786,3322110.8412,31.5932043,35.3920753,31.874,0.78,RNX2SNX,IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGb08|ITRF00|ITRF2005|ITRF2014_0
DRAO,1,1,772,772,-2059165.1130,-3621108.4095,4814432.1922,49.3226170,-119.6249859,541.877,0.47,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
DSEA,1,1,2,2,4460124.2699,3165994.2808,3269215.0077,31.0369151,35.3688245,-360.795,0.00,REFERENCE,ITRF2014_0
DUBO,1,1,767,767,-417604.0548,-4064529.8452,4881432.1163,50.2588082,-95.8661856,245.286,0.52,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
DUBR,1,1,5,5,4465940.0585,1460594.4753,4299291.4296,42.6499834,18.1104345,454.297,0.00,REFERENCE,IGS08|IGb08
DUM1,1,1,705,705,-1940883.7097,1628482.9811,-5833718.1467,-66.6650868,140.0019372,-1.362,0.29,RNX2SNX,IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGb08|ITRF2014_0
DUND,1,1,2,2,-4388120.6175,726671.6362,-4556533.3571,-45.8836633,170.5971662,386.914,0.00,REFERENCE,ITRF2014_0
DUNT,1,1,2,2,-4393728.9759,725060.5198,-4550896.2811,-45.8143155,170.6294059,13.448,0.00,REFERENCE,ITRF2014_0
DWH1,1,1,63,63,-2280790.3435,-3638690.4113,4700113.8386,47.7741044,-122.0801550,109.054,0.12,RNX2SNX,IGS00|IGS97|ITRF00|ITRF2005|ITRF2014_0
DYNG,1,1,270,270,4595220.0648,2039434.2408,3912625.8596,38.0785517,23.9324355,510.569,0.22,RNX2SNX,IGS20|IGS20_0|ITRF2014_0
EBRE,1,1,718,709,4833519.9182,41537.5098,4147461.7878,40.8208911,0.4923669,107.784,0.75,RNX2SNX,IGS00|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|ITRF2014_0|ITRF97
EDIN,1,1,2,2,3575928.1539,-205860.3385,5259853.4187,55.9247865,-3.2947878,119.065,0.00,REFERENCE,ITRF2014_0
EIIV,1,1,2,2,4891068.2259,1318070.7974,3862815.9669,37.5136030,15.0820831,89.021,0.00,REFERENCE,ITRF2014_0
EIL1,1,1,2,2,-2296298.6211,-1484805.0839,5743079.9472,64.6879385,-147.1129676,176.507,0.00,REFERENCE,ITRF2014_0
EIL2,1,1,2,2,-2296298.6211,-1484805.0839,5743079.9472,64.6879385,-147.1129676,176.507,0.00,REFERENCE,ITRF2014_0
EISL,1,1,771,767,-1884949.9332,-5357596.4096,-2892890.6423,-27.1482104,-109.3832759,114.516,1.91,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
ELAT,1,1,64,64,4555028.7848,3180067.2652,3123164.3622,29.5092784,34.9205987,29.544,0.33,RNX2SNX,IGS00|IGS97|ITRF00|ITRF2005|ITRF2014_0|ITRF97
ELEN,1,1,55,55,14103.8241,-6103995.0093,1843981.7352,16.9160560,-89.8676132,118.114,0.09,RNX2SNX,ITRF00|ITRF2005|ITRF2014_0
ELNA,1,1,795,795,-3313335.0716,5222800.7858,1552360.4129,14.1803557,122.3909655,99.507,14.44,RNX2SNX,IGS14|IGS20|ITRF2005
ELRO,1,1,55,55,4336218.4316,3124003.7198,3471463.1268,33.1820072,35.7706479,1083.168,0.32,RNX2SNX,ITRF00|ITRF2005|ITRF2014_0
ENG1,1,1,2,2,5629.1609,-5534933.9466,3158737.7825,29.8789626,-89.9417288,-18.608,0.00,REFERENCE,ITRF2014_0
EPRT,1,1,60,60,1768544.6359,-4164839.4400,4480190.3868,44.9087094,-66.9921301,30.357,0.17,RNX2SNX,IGS08|IGb08|ITRF00|ITRF2005|ITRF2014_0
EQHE,1,1,2,2,4048144.0657,110780.8973,4911158.8119,50.6803526,1.5675564,89.597,0.00,REFERENCE,ITRF2014_0
ESBC,1,1,2,2,3582104.9194,532590.0194,5232755.0395,55.4935664,8.4568268,59.485,0.00,REFERENCE,ITRF2014_0
ESBH,1,1,2,2,3585278.9221,531971.2299,5230646.5763,55.4602724,8.4397726,50.113,0.00,REFERENCE,ITRF2014_0
ESCO,1,1,2,2,4696264.8854,79978.5860,4304245.0435,42.6935765,0.9756674,2508.416,0.00,REFERENCE,ITRF2014_0
ESCU,1,1,2,2,1852954.4438,-3937498.7695,4647314.6840,47.0734045,-64.7987114,-16.009,0.00,REFERENCE,ITRF2014_0
ESE1,1,1,51,51,-2956536.4950,5076024.8143,2476477.8418,22.9973969,120.2187101,61.101,0.00,RNX2SNX,ITRF00
ESEB,1,1,10,10,-3623265.3582,5091040.3444,1274294.8344,11.6017673,125.4392485,69.223,4.67,GPSEST,ITRF2005
ESEQ,1,1,52,52,-2956535.7627,5076023.6829,2476474.8199,22.9973766,120.2187095,58.681,3.31,RNX2SNX,ITRF00
ESPA,1,1,2,2,-2800841.8853,4500734.2022,-3534898.6909,-33.8743184,121.8943254,32.439,0.00,REFERENCE,ITRF2014_0
ESPI,1,1,2,2,-5980894.2042,1359712.9882,-1743951.5560,-15.9736677,167.1919186,89.941,0.00,REFERENCE,ITRF2014_0
ESSJ,1,1,5,5,-3641536.9852,5084497.8346,1248304.0563,11.3619897,125.6103846,81.767,16.53,GPSEST,ITRF2005
ESTI,1,1,55,55,394283.4782,-6201541.4140,1436325.7800,13.0995356,-86.3621280,852.657,0.17,RNX2SNX,ITRF00|ITRF2005|ITRF2014_0
ETAD,1,1,2,2,4914067.7631,3945764.9664,993707.5481,9.0198587,38.7628236,2398.265,0.00,REFERENCE,ITRF2014_0
EUR2,1,1,2,2,78804.6810,-1109590.5365,6259357.0677,79.9889460,-85.9375943,28.997,0.00,REFERENCE,ITRF2014_0
EURK,1,1,55,55,78762.7952,-1109638.0723,6259345.7769,79.9885364,-85.9399196,25.605,0.24,RNX2SNX,ITRF00|ITRF2005|ITRF2014_0
EUSK,1,1,5,5,4022106.3811,477010.9387,4910840.6347,50.6741305,6.7635321,245.297,0.02,REFERENCE,IGS97|ITRF97
EXU0,1,1,2,2,1427635.0394,-5672506.8996,2534091.7034,23.5640492,-75.8734019,-20.058,0.00,REFERENCE,ITRF2014_0
EXWI,1,1,9,9,4325349.3161,564738.4800,4638540.7007,46.9514554,7.4387341,626.922,31.21,REFERENCE,IGS00|IGS97|ITRF97
EYAC,1,1,2,2,-2598865.2573,-1769513.6877,5530917.7769,60.5487043,-145.7498596,146.023,0.00,REFERENCE,ITRF2014_0
EZEV,1,1,2,2,4573470.7056,601888.5123,4390081.8799,43.7744335,7.4972868,76.740,0.00,REFERENCE,ITRF2014_0
FAA1,1,1,700,700,-5247393.8690,-3076866.1321,-1911520.8475,-17.5553078,-149.6143111,12.030,1.14,RNX2SNX,IGS14|IGS14_0|IGS20|IGS20_0|ITRF2014_0
FAIR,1,1,789,776,-2281622.0850,-1453595.9853,5756961.6375,64.9779949,-147.4992425,319.019,0.73,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
FAIV,1,1,2,2,-2281592.7911,-1453617.9318,5756973.4737,64.9781447,-147.4985171,324.282,0.00,REFERENCE,ITRF2014_0
FALE,1,1,274,274,-6134112.1745,-862143.6772,-1514973.6583,-13.8322066,-171.9995381,47.466,1.80,RNX2SNX,IGS00|IGS20|IGS20_0|ITRF2014_0
FALI,1,1,53,53,-3003415.2763,5079791.9958,2411880.8681,22.3652555,120.5936041,41.729,0.00,RNX2SNX,ITRF00|ITRF2005
FALK,1,1,700,700,2106811.4314,-3355170.8010,-4981786.1833,-51.6936502,-57.8740673,50.821,0.20,RNX2SNX,IGS14|IGS14_0|IGS20|IGS20_0|ITRF2014_0
FARB,1,1,2,2,-2752135.9300,-4237793.2255,3878892.7553,37.6972090,-123.0007687,-21.751,0.00,REFERENCE,ITRF2014_0
FCU1,1,1,53,53,-2967987.0959,5008706.6557,2596383.2999,24.1783400,120.6495219,164.276,0.00,RNX2SNX,ITRF00|ITRF2005
FCWS,1,1,246,246,-3004311.9960,4950989.0921,2664182.9606,24.8506902,121.2498145,255.318,0.13,OTHER,WGS-84
FDAV,1,1,9,9,-1330021.0577,-5328401.8624,3236480.7793,30.6802672,-104.0151971,2004.289,0.05,REFERENCE,IGS00|IGS97|ITRF97
FERR,1,1,2,2,4544321.4195,-99064.7107,4459516.6062,44.6459549,-1.2488313,106.286,0.00,REFERENCE,ITRF2014_0
FFMJ,1,1,20,20,4053456.1855,617729.4395,4869395.5340,50.0905752,8.6649633,178.246,0.06,RNXHDR,
FG07,1,1,2,2,6334077.7261,747732.9416,37337.4592,0.3376688,6.7325634,32.696,0.00,REFERENCE,ITRF2014_0
FG08,1,1,2,2,5689022.0978,1471656.6621,-2471670.9551,-22.9503531,14.5035447,34.798,0.00,REFERENCE,ITRF2014_0
FIVE,1,1,43,43,-3044911.7108,4914563.1286,2686534.1773,25.0710527,121.7810780,775.141,0.05,OTHER,WGS-84
FLIN,1,1,776,767,-766174.9480,-3611375.3921,5184056.1955,54.7255829,-101.9780397,311.574,0.55,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
FLIU,1,1,2,2,961232.8775,-5667249.2446,2754602.1680,25.7546035,-80.3735683,1.750,0.00,REFERENCE,ITRF2014_0
FLM5,1,1,2,2,-1300637.7344,466428.0791,-6207707.9076,-77.5327299,160.2714096,1869.696,0.00,REFERENCE,ITRF2014_0
FLNM,1,1,291,291,-3048091.6727,4983134.3101,2552644.8240,23.7463042,121.4533592,138.595,1.86,RNX2SNX,ITRF00|ITRF2005|WGS-84
FLORIDABLANCA,1,1,35,35,-3127780.5049,5310053.6939,1638299.4637,14.9829322,120.4993579,91.200,4.94,GPSEST,ITRF2005
FLRS,1,1,700,700,4221529.8117,-2549242.3354,4031398.5145,39.4538382,-31.1263904,80.189,0.35,RNX2SNX,IGS14|IGS14_0|IGS20|IGS20_0|ITRF2014_0
FMTS,1,1,2,2,1503699.7748,-4478988.6883,4270342.5714,42.3000571,-71.4419107,42.820,0.00,REFERENCE,ITRF2014_0
FNA0,1,1,2,2,2920359.6296,-5397031.0727,1733484.2332,15.8753256,-61.5819653,80.938,0.00,REFERENCE,ITRF2014_0
FONB,1,1,53,53,-3057463.0386,4985021.0286,2537581.8242,23.5981682,121.5220392,47.214,0.00,RNX2SNX,ITRF00|ITRF2005
FORD,1,2,625,625,-3205672.9180,5314792.8296,1464128.3568,13.3593443,121.0967189,66.559,4.25,RNXHDR,
FORD,2,2,4,4,-5508759.7017,-2229500.6373,2308279.4741,21.3571165,-157.9658771,42.169,0.00,RNXHDR,
FORT,1,1,772,772,4985386.5646,-3954998.6942,-428426.1258,-3.8774429,-38.4256135,19.461,0.40,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
FOSU,1,1,53,53,-2966981.3948,4992396.1136,2628308.4186,24.4950474,120.7230191,72.674,0.00,RNX2SNX,ITRF00|ITRF2005
FOYL,1,1,2,2,3638083.2042,-468414.5743,5200402.5707,54.9837565,-7.3366475,68.919,0.00,REFERENCE,ITRF2014_0
FRDN,1,1,2,2,1760542.6790,-4080068.0039,4560178.5899,45.9335073,-66.6598812,94.847,0.00,REFERENCE,ITRF2014_0
FREE,1,1,4,4,1088671.2561,-5596851.4334,2848798.3333,26.7025381,-78.9925669,-26.100,0.00,REFERENCE,IGS00
FREI,1,1,2,2,1537287.9159,-2556505.5210,-5618702.4130,-62.1941011,-58.9805004,72.284,0.00,REFERENCE,ITRF2014_0
FTNA,1,1,2,2,-6178322.4353,-202695.1130,-1566024.5367,-14.3078037,-178.1209445,84.869,0.00,REFERENCE,ITRF2014_0
FTP4,1,1,2,2,-1172461.3091,368220.5278,-6237888.2348,-78.9276734,162.5647010,243.178,0.00,REFERENCE,ITRF2014_0
FTS1,1,1,2,2,-2469885.2289,-3667814.9850,4581028.2607,46.2048875,-123.9560948,-13.929,0.00,REFERENCE,ITRF2014_0
FTS5,1,1,2,2,-2469885.2828,-3667815.0833,4581028.3851,46.2048876,-123.9560947,-13.762,0.00,REFERENCE,ITRF2014_0
FUGN,1,1,53,53,-3046944.1291,5032655.1697,2455384.3455,22.7907513,121.1921680,31.272,0.00,RNX2SNX,ITRF00|ITRF2005
FUNC,1,1,700,700,5143339.1709,-1563412.4073,3421191.8679,32.6479511,-16.9076127,78.409,0.36,RNX2SNX,IGS14|IGS14_0|IGS20|IGS20_0|ITRF2014_0
FUS2,1,1,53,53,-2969118.8070,4994965.2403,2621322.6996,24.4253031,120.7281946,184.481,0.00,RNX2SNX,ITRF00|ITRF2005
FUSI,1,1,53,53,-3014041.0845,4946941.0219,2661322.6631,24.8212073,121.3528528,502.125,0.00,RNX2SNX,ITRF00|ITRF2005
FUSN,1,1,53,53,-2969120.0300,4994969.5100,2621327.1400,24.4253236,120.7281834,190.228,0.00,RNX2SNX,ITRF00|ITRF2005
GABU,1,1,34,34,-3077987.7901,5230735.4154,1954691.8279,17.9647992,120.4743704,42.379,1.72,GPSEST,ITRF2005
GAIA,1,1,2,2,4759095.4145,-718818.5307,4171491.4326,41.1060234,-8.5890891,287.647,0.00,REFERENCE,ITRF2014_0
GAIS,1,1,33,33,-2987712.5445,5053833.7641,2485024.7970,23.0802928,120.5906219,313.195,0.07,OTHER,WGS-84
GAIT,1,1,2,2,1095790.0339,-4831326.5994,4003934.3141,39.1339918,-77.2209821,107.652,0.00,REFERENCE,ITRF2014_0
GAL1,1,1,2,2,-459551.3166,-5545997.5385,3105820.4992,29.3298805,-94.7368099,-17.586,0.00,REFERENCE,ITRF2014_0
GALA,1,1,337,337,-33794.6691,-6377522.6374,-82120.6028,-0.7426932,-90.3036091,7.426,1.47,RNX2SNX,IGS00|IGS08|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
GAMB,1,1,270,270,-4147127.5510,-4152221.6284,-2490032.7343,-23.1303510,-134.9648323,80.660,1.15,RNX2SNX,IGS20|IGS20_0|ITRF2014_0
GANP,1,1,630,630,3929181.1676,1455237.0509,4793654.0788,49.0347161,20.3229415,746.008,0.50,RNX2SNX,IGS14|IGS14_0|IGS20|IGS20_0|IGb08|ITRF2014_0
GAO1,1,1,2,2,6125143.1029,-642.4072,1773609.2602,16.2521170,-0.0060092,285.036,0.00,REFERENCE,ITRF2014_0
GARI,1,1,2,2,4439513.7389,963867.1922,4461921.5990,44.6769027,12.2494364,47.731,0.00,REFERENCE,ITRF2014_0
GASK,1,1,2,2,844918.5671,-5348441.8154,3359250.9371,31.9875776,-81.0229025,-23.119,0.00,REFERENCE,ITRF2014_0
GB05,1,1,53,53,-3019433.8797,4975740.0726,2604856.3591,24.2548117,121.2506790,1985.405,0.00,RNX2SNX,ITRF00|ITRF2005
GB11,1,1,53,53,-3019660.2278,4975757.7088,2604676.9340,24.2528439,121.2524938,2032.511,0.00,RNX2SNX,ITRF00|ITRF2005
GC01,1,1,53,53,-3019716.4069,4975393.5569,2605035.4200,24.2568400,121.2548265,1922.524,0.00,RNX2SNX,ITRF00|ITRF2005
GCGT,1,1,2,2,902661.6342,-5954125.6633,2093986.0147,19.2929485,-81.3794473,8.422,0.00,REFERENCE,ITRF2014_0
GENO,1,1,60,60,4507892.3897,707621.3852,4441603.4530,44.4193869,8.9211418,155.524,0.26,RNX2SNX,IGS97|ITRF00|ITRF2005|ITRF2014_0|ITRF97
GESR,1,1,2,2,3625387.2239,765504.2170,5174102.7368,54.5744304,11.9229277,43.968,0.00,REFERENCE,ITRF2014_0
GETI,1,1,2,2,-1329733.4694,6199766.5511,687129.5341,6.2261922,102.1054663,-0.484,0.00,REFERENCE,ITRF2014_0
GIBR,1,1,2,2,5133765.7087,-482118.7881,3741507.7249,36.1481767,-5.3649881,45.630,0.00,REFERENCE,ITRF2014_0
GILB,1,1,2,2,4389486.7524,3121346.3098,3405662.6484,32.4793383,35.4164788,506.811,0.00,REFERENCE,ITRF2014_0
GJOV,1,1,8,8,3066675.8530,578381.2059,5544140.9132,60.7894888,10.6806388,238.307,0.03,REFERENCE,IGS00|IGS97
GLPS,1,1,762,762,-33800.6274,-6377516.5154,-82154.1744,-0.7429975,-90.3036629,1.771,1.32,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGb08|ITRF00|ITRF2005|ITRF2014_0
GLPT,1,1,2,2,1186726.0930,-4942863.9450,3839372.5353,37.2485408,-76.4994580,-22.070,0.00,REFERENCE,ITRF2014_0
GLSV,1,1,767,767,3512888.5648,2068980.1742,4888903.3672,50.3641850,30.4967387,226.322,0.73,RNX2SNX,IGS00|IGS08|IGS14|IGS14_0|IGS20|IGS20_0|IGS97|IGb08|ITRF00|ITRF2005|ITRF2014_0|ITRF97
GMAS,1,1,683,683,5439112.4814,-1522134.6065,2953556.4729,27.7647859,-15.6342666,195.411,0.61,RNX2SNX,IGS08|IGS14|IGS14_0|IGS20|IGb08|ITRF00|ITRF2005|ITRF2014_0
GMSD,1,1,7,7,-3607665.0207,4147868.0895,3223717.2798,30.5564474,131.0155613,142.341,0.75,REFERENCE,IGS08|IGb08|ITRF2014_0
