# Built 2026-09-23 on gps3, together with the file beside it, by ONE command:
#   scripts/build_crd_catalog.py --root /srv/gnss-archive --root $P \
#       --rinex <listing of every RINEX path in the archive, 480,178 lines> \
#       -o docs/bern52/crd_catalog.csv --clusters-out docs/bern52/crd_clusters.csv
# Both files must come from the same invocation: --rinex adds sites that only
# RINEX headers cover, so a run without it yields fewer sites in both.
# One row per distinct MONUMENT, not per site code. A code
# naming two physical marks appears twice. Judge a real
# collision by cluster SIZE and RATIO -- see _cluster_row().
site,cluster,of_clusters,n_rows,n_files,x,y,z,lat,lon,height,spread_m,best_kind,frames
23G2,1,1,1,1,-2997369.5153,5047005.8573,2487986.8163,23.1082632,120.7056797,599.912,0.00,REFERENCE,ITRF2005
23G3,1,1,1,1,-2997559.5648,5047008.5190,2487988.4003,23.1079244,120.7072614,691.899,0.00,REFERENCE,ITRF2005
23G5,1,1,1,1,-2997195.6310,5047010.2911,2487986.3238,23.1085603,120.7041983,521.561,0.00,REFERENCE,ITRF2005
35G1,1,1,1,1,-3006209.2895,5058982.2629,2452672.5234,22.7624972,120.7201377,478.634,0.00,REFERENCE,ITRF2005
35G2,1,1,1,1,-3006098.3516,5058969.3120,2453046.4810,22.7658477,120.7192736,560.810,0.00,REFERENCE,ITRF2005
35G3,1,1,1,1,-3006164.8572,5059072.3660,2452578.3495,22.7615218,120.7193177,492.695,0.00,REFERENCE,ITRF2005
35G4,1,1,1,1,-3006198.6495,5058843.3269,2453023.9674,22.7658597,120.7207397,499.474,0.00,REFERENCE,ITRF2005
35L1,1,1,1,1,-3006120.5366,5058980.7785,2452831.8122,22.7639863,120.7194022,497.283,0.00,REFERENCE,ITRF2005
35L2,1,1,1,1,-3006191.0116,5058849.8960,2453083.7697,22.7663515,120.7206431,524.225,0.00,REFERENCE,ITRF2005
36G1,1,1,1,1,-3003896.6096,5060175.7051,2454458.1180,22.7779041,120.6948441,1026.916,0.00,REFERENCE,ITRF2005
36G2,1,1,1,1,-3004102.8083,5059676.9903,2455193.7096,22.7851586,120.6990494,1013.422,0.00,REFERENCE,ITRF2005
36L1,1,1,1,1,-3004079.0628,5059890.2466,2454516.2369,22.7789204,120.6977905,908.976,0.00,REFERENCE,ITRF2005
39G1,1,1,1,1,-2998424.7422,5057153.2422,2465756.8045,22.8908154,120.6640252,442.736,0.00,REFERENCE,ITRF2005
4779,1,3,4,4,-3252591.4771,5260517.4179,1553279.4542,14.1890252,121.7286086,54.905,2.17,RNXHDR,
4779,2,3,4,4,-3293157.7320,5258083.7873,1474688.9624,13.4574368,122.0590692,83.499,3.35,RNXHDR,
4779,3,3,4,4,-3237177.6899,5251941.0165,1613003.6811,14.7464550,121.6487415,69.583,2.36,RNXHDR,
5518,1,3,4,4,-3365161.6216,5244291.5923,1357253.4247,12.3684120,122.6875132,64.851,1.17,RNXHDR,
5518,2,3,3,3,-3303387.2599,5266817.4928,1419932.6430,12.9490903,122.0962439,70.482,1.85,RNXHDR,
5518,3,3,3,3,-3442487.9163,5153754.1448,1501524.3217,13.7069724,123.7412333,81.767,2.85,RNXHDR,
5602,1,3,4,4,-3323163.9715,5225589.2306,1521703.2270,13.8948298,122.4539341,59.297,1.51,RNXHDR,
5602,2,3,3,3,-3426034.4782,5185031.0211,1430227.0272,13.0445773,123.4549280,75.453,0.78,RNXHDR,
5602,3,3,2,2,-3400684.0586,5179780.5576,1507326.9208,13.7608844,123.2861212,117.089,1.25,RNXHDR,
5936,1,1,48,48,-3013991.1827,4991076.1875,2580108.8078,24.0129435,121.1267708,1267.472,0.05,OTHER,WGS-84
6511,1,1,1,1,-3590560.2873,5125633.2476,1227664.2188,11.1717532,125.0116489,72.481,0.00,RNXHDR,
6850,1,11,6,6,-3667634.5609,5123544.7063,986362.0095,8.9559387,125.5965754,85.360,1.95,RNXHDR,
6850,2,11,4,4,-3413472.3222,5263984.4906,1145463.6670,10.4151464,122.9617107,127.313,3.29,RNXHDR,
6850,3,11,3,3,-3150499.2506,5257846.8738,1761133.6904,16.1329197,120.9300204,976.661,2.87,RNXHDR,
6850,4,11,3,3,-3344975.6375,5275354.6873,1285341.6187,11.7037376,122.3778020,65.442,2.72,RNXHDR,
6850,5,11,3,3,-3433306.0172,5252468.9686,1142447.9392,10.3864208,123.1708648,734.613,2.96,RNXHDR,
6850,6,11,2,2,-3198698.6427,5199756.3756,1841243.7303,16.8901928,121.5982988,120.247,2.80,RNXHDR,
6850,7,11,2,2,-3168833.8854,5198568.4733,1895571.9688,17.4035048,121.3647698,266.464,1.54,RNXHDR,
6850,8,11,2,2,-3213836.4795,5213937.2753,1774470.5909,16.2603099,121.6494060,252.516,0.73,RNXHDR,
6850,9,11,2,2,-3143193.1993,5254318.0478,1785105.2254,16.3579949,120.8883467,1172.870,0.46,RNXHDR,
6850,10,11,2,2,-3410177.2776,5289860.0971,1030745.5186,9.3624282,122.8083797,70.071,3.44,RNXHDR,
6850,11,11,1,1,-3184736.4804,5286937.1507,1603259.1429,14.6553140,121.0638495,108.365,0.00,RNXHDR,
7035,1,1,2,2,-2428826.6324,-4799754.3255,3417267.0918,32.6006800,-116.8408449,988.678,0.00,REFERENCE,ITRF2008
7046,1,1,2,2,-1736003.2361,-4425049.7736,4241427.1007,41.9335387,-111.4207079,1963.360,0.00,REFERENCE,ITRF2008
7051,1,1,2,2,-2516893.4649,-4198844.9158,4076411.4712,39.9734928,-120.9395346,1059.987,0.00,REFERENCE,ITRF2008
7062,1,1,2,2,-2428825.6772,-4799750.5227,3417272.6078,32.6007405,-116.8408541,988.428,0.00,REFERENCE,ITRF2008
7063,1,1,2,2,1130714.5650,-4831367.7347,3994087.4308,39.0203829,-76.8277960,19.246,0.00,REFERENCE,ITRF2008
7065,1,1,2,2,1130691.1043,-4831351.0684,3994112.0018,39.0206772,-76.8280159,17.954,0.00,REFERENCE,ITRF2008
7067,1,1,2,2,2308538.3464,-4874080.0220,3393628.6997,32.3538281,-64.6560938,-22.995,0.00,REFERENCE,ITRF2008
7068,1,1,2,2,1920481.0575,-5619479.2270,2318914.5853,21.4605008,-71.1319176,-18.158,0.00,REFERENCE,ITRF2008
7080,1,1,2,2,-1330021.1661,-5328401.8376,3236480.7406,30.6802668,-104.0151983,2004.272,0.00,REFERENCE,ITRF2008
7082,1,1,2,2,-1735997.3629,-4425048.5475,4241430.5889,41.9335818,-111.4206474,1963.246,0.00,REFERENCE,ITRF2008
7084,1,1,2,2,-2410590.5518,-4477745.0371,3838648.7830,37.2321302,-118.2957667,1178.124,0.00,REFERENCE,ITRF2008
7085,1,1,2,2,-2353394.3881,-4641529.4664,3676899.1247,35.4244364,-116.8863728,965.558,0.00,REFERENCE,ITRF2008
7086,1,1,2,2,-1330125.5167,-5328526.6449,3236150.2188,30.6770302,-104.0159392,1961.511,0.00,REFERENCE,ITRF2008
7090,1,1,2,2,-2389007.3014,5043329.4040,-3078524.4790,-29.0464941,115.3467493,241.338,0.00,REFERENCE,ITRF2008
7091,1,1,2,2,1492453.4795,-4457278.8144,4296816.0152,42.6226958,-71.4876447,92.119,0.00,REFERENCE,ITRF2008
7092,1,1,2,2,-6143446.9440,1364701.3382,1034163.6737,9.3938065,167.4757169,32.990,0.00,REFERENCE,ITRF2008
7096,1,1,2,2,-6100049.2849,-996201.7459,-1568975.7123,-14.3354080,-170.7248793,51.956,0.00,REFERENCE,ITRF2008
7097,1,1,2,2,-1884983.2521,-5357608.4844,-2892853.4804,-27.1478195,-109.3835525,117.534,0.00,REFERENCE,ITRF2008
7100,1,1,2,2,1131355.3247,-4831168.3431,3994131.7209,39.0209656,-76.8200670,9.773,0.00,REFERENCE,ITRF2008
7101,1,1,2,2,1131240.0887,-4831179.7471,3994148.5178,39.0211692,-76.8213926,8.562,0.00,REFERENCE,ITRF2008
7102,1,1,2,2,1130686.3840,-4831353.0166,3994110.9330,39.0206651,-76.8280741,17.920,0.00,REFERENCE,ITRF2008
7103,1,1,2,2,1130685.4454,-4831348.7041,3994116.3958,39.0207283,-76.8280733,17.930,0.00,REFERENCE,ITRF2008
7104,1,1,2,2,1131095.6217,-4831196.9461,3994170.7848,39.0214168,-76.8230622,10.005,0.00,REFERENCE,ITRF2008
7105,1,1,2,2,1130719.5115,-4831350.5740,3994106.5598,39.0206052,-76.8276952,19.183,0.00,REFERENCE,ITRF2008
7106,1,1,2,2,1130646.2143,-4831304.4764,3994182.8108,39.0214881,-76.8283980,19.343,0.00,REFERENCE,ITRF2008
7109,1,1,2,2,-2517235.0420,-4198556.1121,4076569.6281,39.9750011,-120.9447015,1106.361,0.00,REFERENCE,ITRF2008
7110,1,1,2,2,-2386278.4548,-4802353.9409,3444881.7246,32.8917399,-116.4226742,1839.031,0.00,REFERENCE,ITRF2008
7112,1,1,2,2,-1240678.4412,-4720463.3295,4094480.5210,40.1827793,-104.7259806,1501.480,0.00,REFERENCE,ITRF2008
7114,1,1,2,2,-2410422.5191,-4477802.1214,3838686.1864,37.2325587,-118.2937948,1177.359,0.00,REFERENCE,ITRF2008
7115,1,1,2,2,-2350861.8341,-4655546.1804,3660997.8116,35.2483063,-116.7919224,1038.544,0.00,REFERENCE,ITRF2008
7119,1,1,2,2,-5466065.4889,-2404338.3297,2242108.2296,20.7064890,-156.2569209,3056.266,0.00,REFERENCE,ITRF2008
7120,1,1,2,2,-5465998.6526,-2404407.5420,2242229.0048,20.7076153,-156.2560548,3067.811,0.00,REFERENCE,ITRF2008
7121,1,1,2,2,-5345865.9498,-2958245.7264,-1824623.2397,-16.7335142,-151.0411422,43.604,0.00,REFERENCE,ITRF2008
7122,1,1,2,2,-1660089.4668,-5619100.4657,2511637.8407,23.3428482,-106.4590835,30.954,0.00,REFERENCE,ITRF2008
7123,1,1,2,2,-5345867.4296,-2958246.5400,-1824623.7626,-16.7335143,-151.0411422,45.371,0.00,REFERENCE,ITRF2008
7124,1,1,2,2,-5246407.0936,-3077284.5687,-1913813.9246,-17.5768044,-149.6062090,94.395,0.00,REFERENCE,ITRF2008
7125,1,1,2,2,1130745.5384,-4831368.0463,3994077.1875,39.0202695,-76.8274485,18.516,0.00,REFERENCE,ITRF2008
7130,1,1,2,2,1130735.0955,-4831324.6373,3994132.4061,39.0209091,-76.8274517,18.595,0.00,REFERENCE,ITRF2008
7210,1,1,2,2,-5466006.7029,-2404426.9176,2242188.0099,20.7072206,-156.2559157,3067.506,0.00,REFERENCE,ITRF2008
7220,1,1,2,2,-2386292.7340,-4802347.0618,3444881.1274,32.8917344,-116.4228435,1838.870,0.00,REFERENCE,ITRF2008
7231,1,1,2,2,-2279714.4182,5004767.4204,3219793.9317,30.5156569,114.4896713,86.548,0.00,REFERENCE,ITRF2008
7236,1,1,2,2,-2266555.9275,5009079.1114,3222265.8250,30.5417980,114.3462546,38.453,0.00,REFERENCE,ITRF2008
7237,1,1,2,2,-2674386.9328,3757189.2274,4391508.3183,43.7905120,125.4434599,274.210,0.00,REFERENCE,ITRF2008
7239,1,11,4,4,-3450240.9446,5188621.3538,1357646.5462,12.3720311,123.6224341,74.379,2.22,RNXHDR,
7239,2,11,4,4,-3306684.7726,5235476.9007,1523840.3679,13.9146005,122.2761746,116.794,1.53,RNXHDR,
7239,3,11,4,4,-3494971.4485,5172284.6839,1304894.2143,11.8842846,124.0473405,74.248,0.00,RNXHDR,
7239,4,11,4,4,-3534989.5571,5156996.7113,1257025.5949,11.4424410,124.4296421,70.322,2.41,RNXHDR,
7239,5,11,3,3,-3349652.2278,5210861.2753,1514182.7471,13.8248081,122.7337701,63.882,2.58,RNXHDR,
7239,6,11,3,3,-3540965.4229,5155937.7254,1244825.6508,11.3298484,124.4802783,120.138,2.17,RNXHDR,
7239,7,11,2,2,-3194158.0127,5305608.2449,1522196.9974,13.8988250,121.0493821,328.578,1.30,RNXHDR,
7239,8,11,2,2,-3221154.2130,5277475.2184,1561192.8658,14.2628110,121.3981774,54.632,0.88,RNXHDR,
7239,9,11,2,2,-3367753.6393,5189312.3769,1547423.0365,14.1344256,122.9827156,58.926,2.28,RNXHDR,
7239,10,11,1,1,-3184313.8964,5287302.6333,1602898.5322,14.6519436,121.0587386,109.092,0.00,RNXHDR,
7239,11,11,1,1,-3323160.4212,5225585.1255,1521702.0247,13.8948310,122.4539268,53.796,0.00,RNXHDR,
7244,1,4,3,3,-3379412.5300,5201151.0670,1481303.5237,13.5189613,123.0135228,64.130,2.27,RNXHDR,
7244,2,4,3,3,-3087542.3504,5297592.8112,1750208.8950,16.0325938,120.2344821,51.066,0.00,RNXHDR,
7244,3,4,3,3,-3326437.1815,5228392.3826,1504953.4490,13.7389213,122.4655634,61.817,1.85,RNXHDR,
7244,4,4,2,2,-3403518.3702,5176047.0362,1513482.4838,13.8182866,123.3269866,65.488,2.47,RNXHDR,
