segment,table,run,parameter,value
PF: Masbate,10,Masbate Segment (Philippine Fault),Fault rupture,approximately 24-km long surface rupture
PF: Masbate,10,Masbate Segment (Philippine Fault),Fault type,Strike-slip
PF: Masbate,10,Masbate Segment (Philippine Fault),Fault type,Strike-slip
PF: Masbate,10,Masbate Segment (Philippine Fault),Fault type,Strike-slip
PF: Masbate,10,Masbate Segment (Philippine Fault),Location of epicenter,"12.2ºN, 123.8ºE"
PF: Masbate,10,Masbate Segment (Philippine Fault),Location of epicenter,"11.98°N, 124.01°E"
PF: Masbate,10,Masbate Segment (Philippine Fault),Location of epicenter,"12.32°N, 123.75°E"
PF: Masbate,10,Masbate Segment (Philippine Fault),Magnitude,Ms 6.2
PF: Masbate,10,Masbate Segment (Philippine Fault),Magnitude,Mw 6.6
PF: Masbate,10,Masbate Segment (Philippine Fault),Magnitude,Mw 6.0
PF: Northern Leyte Fault,11,1st modeling results (2021),Angle of projection,"55° from N,CW"
PF: Northern Leyte Fault,11,1st modeling results (2021),Backslip Rate (mm/yr),13 (-102.19-29.49)
PF: Northern Leyte Fault,11,1st modeling results (2021),Confidence interval,95%
PF: Northern Leyte Fault,11,1st modeling results (2021),Data period,1995-2019
PF: Northern Leyte Fault,11,1st modeling results (2021),Dip Angle (degrees),75 (70-80)
PF: Northern Leyte Fault,11,1st modeling results (2021),Locking depth (km),20 (15-25)
PF: Northern Leyte Fault,11,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: Northern Leyte Fault,11,1st modeling results (2021),Number of samples,1000
PF: Northern Leyte Fault,11,1st modeling results (2021),Number of sites,8 sites
PF: Northern Leyte Fault,11,1st modeling results (2021),Reference station,CEB1
PF: Northern Leyte Fault,11,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Northern Leyte Fault,11,1st modeling results (2021),Residuals,1.02
PF: Northern Leyte Fault,11,1st modeling results (2021),Slip rate (mm/yr),47 (40-50)
PF: Northern Leyte Fault,11,1st modeling results (2021),Strike,N 145° E
PF: Northern Leyte Fault,11,1st modeling results (2021),Top depth (km),0 (0-5)
PF: Northern Leyte Fault,11,1st modeling results (2021),Width (km)*,(locking depth)
PF: Northern Leyte Fault,11,2nd modeling results (2023),Angle of projection,"56° from N,CW"
PF: Northern Leyte Fault,11,2nd modeling results (2023),Backslip Rate (mm/yr),44.73
PF: Northern Leyte Fault,11,2nd modeling results (2023),Data period,1995-2017
PF: Northern Leyte Fault,11,2nd modeling results (2023),Dip Angle (degrees),83
PF: Northern Leyte Fault,11,2nd modeling results (2023),Locking depth (km),1
PF: Northern Leyte Fault,11,2nd modeling results (2023),Method,"Elastic half-space model, grid search"
PF: Northern Leyte Fault,11,2nd modeling results (2023),Number of sites,11 sites
PF: Northern Leyte Fault,11,2nd modeling results (2023),Reduced chi-squared,4.17
PF: Northern Leyte Fault,11,2nd modeling results (2023),Reference station,CEB1
PF: Northern Leyte Fault,11,2nd modeling results (2023),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Northern Leyte Fault,11,2nd modeling results (2023),Residuals,2.96
PF: Northern Leyte Fault,11,2nd modeling results (2023),Slip rate (mm/yr),46
PF: Northern Leyte Fault,11,2nd modeling results (2023),Strike,N 146° E
PF: Northern Leyte Fault,11,2nd modeling results (2023),Top depth (km),0
PF: Northern Leyte Fault,11,2nd modeling results (2023),Width (km)*,(locking depth)
PF: Northern Leyte Fault,11,3rd modeling results (2023),Analysis,“Slip rate” = “block motion” and “long term slip rate”
PF: Northern Leyte Fault,11,3rd modeling results (2023),Angle of projection,"55° from N,CW"
PF: Northern Leyte Fault,11,3rd modeling results (2023),Bottom depth (km),16.85
PF: Northern Leyte Fault,11,3rd modeling results (2023),Confidence interval,STD (68%)
PF: Northern Leyte Fault,11,3rd modeling results (2023),Data period,1995-2017
PF: Northern Leyte Fault,11,3rd modeling results (2023),Dip Angle (degrees),80.48
PF: Northern Leyte Fault,11,3rd modeling results (2023),Method,Inversion and monte carlo
PF: Northern Leyte Fault,11,3rd modeling results (2023),Number of samples,"900,000"
PF: Northern Leyte Fault,11,3rd modeling results (2023),Number of sites,sites
PF: Northern Leyte Fault,11,3rd modeling results (2023),Rake,0.11
PF: Northern Leyte Fault,11,3rd modeling results (2023),Reference station,CEB1
PF: Northern Leyte Fault,11,3rd modeling results (2023),Slip rate (mm/yr),47.08
PF: Northern Leyte Fault,11,3rd modeling results (2023),Strike,N 145° E
PF: Northern Leyte Fault,11,3rd modeling results (2023),Top depth (km),0.71
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Analysis,motions observed at stations are due to aseismic creep along the fault
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Data period,1991 & 1993
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Method,Trilateration/GPS geodetic network
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Number of sites,9 sites
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Remarks,They used the term “mean slip rate” and “average azimuth”
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Slip rate (mm/yr),26 ± 10
PF: Northern Leyte Fault,11,Duquesnoy et al. (1994),Strike,N 130° E
PF: San Manuel Fault,3,1st modeling results (2021),Angle of projection,"45° from N,CW"
PF: San Manuel Fault,3,1st modeling results (2021),Backslip Rate (mm/yr),21.99 (15.55-23.99)
PF: San Manuel Fault,3,1st modeling results (2021),Confidence interval,95%
PF: San Manuel Fault,3,1st modeling results (2021),Data period,2006-2018
PF: San Manuel Fault,3,1st modeling results (2021),Dip Angle (degrees),75 (70-80)
PF: San Manuel Fault,3,1st modeling results (2021),Locking depth (km),18 (15-25)
PF: San Manuel Fault,3,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: San Manuel Fault,3,1st modeling results (2021),Number of samples,1000
PF: San Manuel Fault,3,1st modeling results (2021),Number of sites,8 sites
PF: San Manuel Fault,3,1st modeling results (2021),Reference station,MABN
PF: San Manuel Fault,3,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: San Manuel Fault,3,1st modeling results (2021),Residuals,0.51
PF: San Manuel Fault,3,1st modeling results (2021),Slip Rate (mm/yr),22 (17-25)
PF: San Manuel Fault,3,1st modeling results (2021),Top depth (km),0 (0-3)
PF: San Manuel Fault,3,1st modeling results (2021),Width (km)*,(locking depth)
PF: San Manuel Fault,3,1st modeling results (2024),Angle of projection,"45° from N,CW"
PF: San Manuel Fault,3,1st modeling results (2024),Backslip Rate (mm/yr),19.98 (11.39-22.11)
PF: San Manuel Fault,3,1st modeling results (2024),Confidence interval,95%
PF: San Manuel Fault,3,1st modeling results (2024),Data period,2006-2018
PF: San Manuel Fault,3,1st modeling results (2024),Dip Angle (degrees),71 (65-75)
PF: San Manuel Fault,3,1st modeling results (2024),Locking depth (km),18 (10-25)
PF: San Manuel Fault,3,1st modeling results (2024),Method,"Elastic half-space model, grid search, and bootstrap"
PF: San Manuel Fault,3,1st modeling results (2024),Number of samples,1000
PF: San Manuel Fault,3,1st modeling results (2024),Number of sites,8 sites
PF: San Manuel Fault,3,1st modeling results (2024),Reduced chi-squared,4.56
PF: San Manuel Fault,3,1st modeling results (2024),Reference station,MABN
PF: San Manuel Fault,3,1st modeling results (2024),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: San Manuel Fault,3,1st modeling results (2024),Residuals,0.70
PF: San Manuel Fault,3,1st modeling results (2024),Slip Rate (mm/yr),20 (13-24)
PF: San Manuel Fault,3,1st modeling results (2024),Top depth (km),0 (0-2)
PF: San Manuel Fault,3,1st modeling results (2024),Width (km)*,(locking depth)
PF: Southern Leyte Fault,12,1st modeling results (2021),Angle of projection,"73° from N,CW"
PF: Southern Leyte Fault,12,1st modeling results (2021),Backslip Rate (mm/yr),0.96 (-36.27 - 2.19)
PF: Southern Leyte Fault,12,1st modeling results (2021),Confidence interval,95%
PF: Southern Leyte Fault,12,1st modeling results (2021),Data period,2004-2020
PF: Southern Leyte Fault,12,1st modeling results (2021),Dip Angle (degrees),85 (80-90)
PF: Southern Leyte Fault,12,1st modeling results (2021),Locking depth (km),96 (90-100)
PF: Southern Leyte Fault,12,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: Southern Leyte Fault,12,1st modeling results (2021),Number of samples,1000
PF: Southern Leyte Fault,12,1st modeling results (2021),Number of sites,10 sites
PF: Southern Leyte Fault,12,1st modeling results (2021),Reference station,ISAB
PF: Southern Leyte Fault,12,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Southern Leyte Fault,12,1st modeling results (2021),Residuals,0.54
PF: Southern Leyte Fault,12,1st modeling results (2021),Slip Rate (mm/yr),38 (30-39)
PF: Southern Leyte Fault,12,1st modeling results (2021),Top depth (km),0 (0-5)
PF: Southern Leyte Fault,12,1st modeling results (2021),Width (km)*,(locking depth)
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Backslip Rate (mm/yr),14
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Dip Angle (degrees),80
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Locking depth (km),13
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Method,"Elastic half-space model, and grid search"
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Number of sites,11 sites
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Slip Rate (mm/yr),30
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Top depth (km),2 km
PF: Southern Leyte Fault,12,Bacolcol et al. (2012),Width (km)*,(locking depth)
PF: Surigao Fault,13,1st modeling results (2021),Angle of projection,"75° from N,CW"
PF: Surigao Fault,13,1st modeling results (2021),Backslip Rate (mm/yr),4.9 (-426.1 - 15.9)
PF: Surigao Fault,13,1st modeling results (2021),Confidence interval,95%
PF: Surigao Fault,13,1st modeling results (2021),Data period,2007-2017
PF: Surigao Fault,13,1st modeling results (2021),Dip Angle (degrees),75 (70-80)
PF: Surigao Fault,13,1st modeling results (2021),Locking depth (km),1 (0-5)
PF: Surigao Fault,13,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: Surigao Fault,13,1st modeling results (2021),Number of samples,1000
PF: Surigao Fault,13,1st modeling results (2021),Number of sites,5 sites
PF: Surigao Fault,13,1st modeling results (2021),Reference station,NOMA
PF: Surigao Fault,13,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Surigao Fault,13,1st modeling results (2021),Residuals,1.45
PF: Surigao Fault,13,1st modeling results (2021),Slip Rate (mm/yr),25 (13-30)
PF: Surigao Fault,13,1st modeling results (2021),Top depth (km),0 (0-5)
PF: Surigao Fault,13,1st modeling results (2021),Width (km)*,(locking depth)
PF: Surigao Fault,13,Bacolcol et al. (2012),Backslip Rate (mm/yr),27
PF: Surigao Fault,13,Bacolcol et al. (2012),Dip Angle (degrees),80
PF: Surigao Fault,13,Bacolcol et al. (2012),Locking depth (km),20
PF: Surigao Fault,13,Bacolcol et al. (2012),Method,Elastic half-space model and grid search
PF: Surigao Fault,13,Bacolcol et al. (2012),Number of sites,5 sites
PF: Surigao Fault,13,Bacolcol et al. (2012),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: Surigao Fault,13,Bacolcol et al. (2012),Slip Rate (mm/yr),37
PF: Surigao Fault,13,Bacolcol et al. (2012),Top depth (km),0
PF: Surigao Fault,13,Bacolcol et al. (2012),Width (km)*,(locking depth)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Angle of projection,"90° from N,CW"
PF: West Compostela Valley Fault,16,1st modeling results (2021),Backslip Rate (mm/yr),15 (0.43-21.94)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Confidence interval,95%
PF: West Compostela Valley Fault,16,1st modeling results (2021),Data period,2007-2017
PF: West Compostela Valley Fault,16,1st modeling results (2021),Dip Angle (degrees),75 (70-80)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Locking depth (km),20 (15-25)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Long-term rate (mm/yr),18 (15-25)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Method,"Elastic half-space model, grid search, and bootstrap"
PF: West Compostela Valley Fault,16,1st modeling results (2021),Number of samples,1000
PF: West Compostela Valley Fault,16,1st modeling results (2021),Number of sites,5 sites
PF: West Compostela Valley Fault,16,1st modeling results (2021),Reference station,SOMF
PF: West Compostela Valley Fault,16,1st modeling results (2021),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: West Compostela Valley Fault,16,1st modeling results (2021),Residuals,0.36
PF: West Compostela Valley Fault,16,1st modeling results (2021),Top depth (km),1 (0-5)
PF: West Compostela Valley Fault,16,1st modeling results (2021),Width (km)*,(locking depth)
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Backslip Rate (mm/yr),23
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Dip Angle (degrees),80
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Locking depth (km),20
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Long-term rate (mm/yr),22
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Method,Elastic half-space model and grid search
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Number of sites,5 sites
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Remarks,“Slip rate” = “block motion” and “long term slip rate”
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Top depth (km),0
PF: West Compostela Valley Fault,16,Bacolcol et al. (2012),Width (km)*,(locking depth)
